"ActualValue","Commandlet","Control","Criticality","ReportDetails","Requirement","RequirementMet"
"""""","Get-MgSubscribedSku, Get-PrivilegedUser","AAD 2.12","Shall","0 admin(s) that are not cloud-only found","Users that need to be assigned to highly privileged Azure AD roles SHALL be provisioned cloud-only accounts that are separate from the on-premises directory or other federated identity providers","True"
,"","AAD 2.18","Should/Not-Implemented","Currently cannot be checked automatically. See Azure Active Directory Secure Configuration Baseline policy 2.18 for instructions on manual check","Guest invites SHOULD only be allowed to specific external domains that have been authorized by the agency for legitimate business purposes","False"
,"","AAD 2.2","Should/Not-Implemented","Currently cannot be checked automatically. See Azure Active Directory Secure Configuration Baseline policy 2.2 for instructions on manual check","A notification SHOULD be sent to the administrator when high-risk users are detected","False"
,"","AAD 2.4","Shall/Not-Implemented","Currently cannot be checked automatically. See Azure Active Directory Secure Configuration Baseline policy 2.4 for instructions on manual check","If phishing-resistant MFA cannot be used, an MFA method from the list [see AAD baseline 2.4] SHALL be used in the interim","False"
,"","AAD 2.4","Shall/Not-Implemented","Currently cannot be checked automatically. See Azure Active Directory Secure Configuration Baseline policy 2.4 for instructions on manual check","Phishing-resistant MFA SHALL be used for all users","False"
,"","AAD 2.4","Shall/Not-Implemented","Currently cannot be checked automatically. See Azure Active Directory Secure Configuration Baseline policy 2.4 for instructions on manual check","SMS or Voice as the MFA method SHALL NOT be used","False"
,"","AAD 2.5","Shall/Not-Implemented","Currently cannot be checked automatically. See Azure Active Directory Secure Configuration Baseline policy 2.5 for instructions on manual check","The following critical logs SHALL be sent at a minimum: AuditLogs, SignInLogs, RiskyUsers, UserRiskEvents, NonInteractiveUserSignInLogs, ServicePrincipalSignInLogs, ADFSSignInLogs, RiskyServicePrincipals, ServicePrincipalRiskEvents","False"
,"","AAD 2.5","Shall/Not-Implemented","Currently cannot be checked automatically. See Azure Active Directory Secure Configuration Baseline policy 2.5 for instructions on manual check","The logs SHALL be sent to the agency's SOC for monitoring","False"
,"","AAD 2.8","Shall/Not-Implemented","Currently cannot be checked automatically. See Azure Active Directory Secure Configuration Baseline policy 2.8 for instructions on manual check","User passwords SHALL NOT expire","False"
"{""all_allow_invite_values"":[{""AllowInvitesFromValue"":""adminsAndGuestInviters"",""PolicyId"":""authorizationPolicy""}]}","Get-MgPolicyAuthorizationPolicy","AAD 2.18","Should","Permission level set to ""adminsAndGuestInviters"" (authorizationPolicy)","Only users with the Guest Inviter role SHOULD be able to invite guest users","True"
